# EEG Data - Muse 2
# Channels: TP9,AF7,AF8,TP10
# SamplingRate: 256
# StartTime: 2026-03-09T19:30:57.003Z
# Format: uncorrected_time,corrected_time,TP9,AF7,AF8,TP10
0.0430,0.0430,-1000.00,-1000.00,0.00,0.00
0.0430,0.0430,-218.26,191.41,0.00,0.00
0.0430,0.0430,-956.05,-887.21,0.00,0.00
0.0430,0.0430,956.54,911.13,0.00,0.00
0.0430,0.0430,945.31,974.61,0.00,0.00
0.0430,0.0430,979.98,974.12,0.00,0.00
0.0430,0.0430,973.14,973.63,0.00,0.00
0.0430,0.0430,972.66,973.63,0.00,0.00
0.0431,0.0431,985.35,979.98,0.00,0.00
0.0431,0.0431,898.44,904.30,0.00,0.00
0.0431,0.0431,-894.53,-885.74,0.00,0.00
0.0431,0.0431,452.64,294.43,0.00,0.00
0.0864,0.0864,-961.91,-1000.00,-987.30,-947.27
0.0864,0.0864,-1000.00,-1000.00,-1000.00,-1000.00
0.0864,0.0864,-951.66,-964.84,-958.01,-949.71
0.0864,0.0864,-1000.00,-1000.00,-985.35,-1000.00
0.0864,0.0864,-1000.00,-1000.00,-990.72,-1000.00
0.0864,0.0864,-1000.00,-1000.00,-980.96,-1000.00
0.0864,0.0864,-1000.00,-1000.00,-1000.00,-1000.00
0.0864,0.0864,-1000.00,-1000.00,-783.20,-1000.00
0.0864,0.0864,-927.25,-937.50,-587.40,-927.25
0.0864,0.0864,-1000.00,-1000.00,-1000.00,-1000.00
0.0864,0.0864,-415.04,-218.26,-233.89,-414.55
0.0864,0.0864,968.26,-955.08,-949.71,969.24
0.1343,0.1343,990.23,957.52,959.96,990.72
0.1343,0.1343,929.69,946.29,944.82,930.66
0.1343,0.1343,985.35,980.47,965.82,985.84
0.1343,0.1343,972.66,973.63,965.33,973.63
0.1343,0.1343,972.66,973.63,961.91,973.63
0.1343,0.1343,979.49,985.35,-960.45,979.00
0.1343,0.1343,945.31,928.22,612.79,951.17
0.1343,0.1343,956.54,-997.07,669.92,948.73
