# Markers
# Format: type,media_time,performance_time,description
button_press,0.0000,290.6054,
video_start,0.0417,290.7045,
frame,0.3755,291.0548,frame_10
frame,0.7941,291.4705,frame_20
frame,1.2124,291.8878,frame_30
frame,1.6134,292.2877,frame_40
frame,2.0522,292.7235,frame_50
frame,2.4509,293.1214,frame_60
frame,2.8570,293.5380,frame_70
frame,3.2766,293.9547,frame_80
frame,3.7022,294.3773,frame_90
frame,4.1324,294.8047,frame_100
frame,4.5327,295.2039,frame_110
frame,4.9509,295.6211,frame_120
frame,5.3757,296.0548,frame_130
frame,5.7764,296.4545,frame_140
frame,6.2128,296.8879,frame_150
frame,6.6150,297.2892,frame_160
frame,7.0403,297.7211,frame_170
frame,7.4585,298.1384,frame_180
frame,7.8774,298.5544,frame_190
frame,8.2953,298.9712,frame_200
frame,8.6964,299.3714,frame_210
frame,9.1209,299.7930,frame_220
frame,9.5403,300.2211,frame_230
frame,9.9513,300.6212,frame_240
frame,10.3591,301.0379,frame_250
frame,10.7795,301.4553,frame_260
frame,11.2150,301.8880,frame_270
frame,11.6159,302.2878,frame_280
frame,12.0405,302.7211,frame_290
frame,12.4416,303.1212,frame_300
frame,12.8592,303.5378,frame_310
frame,13.2974,303.9712,frame_320
frame,13.7149,304.3878,frame_330
frame,14.1220,304.8035,frame_340
frame,14.5406,305.2210,frame_350
frame,14.9417,305.6212,frame_360
frame,15.3779,306.0546,frame_370
frame,15.7975,306.4712,frame_380
frame,16.2152,306.8878,frame_390
frame,16.6162,307.2878,frame_400
frame,17.0408,307.7211,frame_410
frame,17.4602,308.1377,frame_420
frame,17.8770,308.5534,frame_430
frame,18.2791,308.9546,frame_440
frame,18.6986,309.3712,frame_450
frame,19.1233,309.8046,frame_460
frame,19.5431,310.2214,frame_470
frame,19.9605,310.6377,frame_480
frame,20.3615,311.0379,frame_490
frame,20.7800,311.4553,frame_500
frame,21.1982,311.8706,frame_510
frame,21.6158,312.2871,frame_520
frame,22.0244,312.7045,frame_530
frame,22.4421,313.1212,frame_540
frame,22.8801,313.5544,frame_550
frame,23.2819,313.9551,frame_560
frame,23.7175,314.3879,frame_570
frame,24.1067,314.7877,frame_580
frame,24.5246,315.2046,frame_590
frame,24.9442,315.6212,frame_600
frame,25.3609,316.0370,frame_610
frame,25.7981,316.4713,frame_620
frame,26.1995,316.8716,frame_630
frame,26.6255,317.3045,frame_640
frame,27.0429,317.7208,frame_650
frame,27.4628,318.1379,frame_660
frame,27.8612,318.5371,frame_670
frame,28.2815,318.9546,frame_680
frame,28.6998,319.3718,frame_690
frame,29.1072,319.7879,frame_700
frame,29.5434,320.2212,frame_710
frame,29.9623,320.6372,frame_720
frame,30.3640,321.0379,frame_730
frame,30.7818,321.4547,frame_740
frame,31.2064,321.8879,frame_750
frame,31.6073,322.2879,frame_760
frame,32.0269,322.7046,frame_770
frame,32.4456,323.1222,frame_780
frame,32.8649,323.5387,frame_790
frame,33.2813,323.9539,frame_800
frame,33.7083,324.3879,frame_810
frame,34.1075,324.7880,frame_820
frame,34.5456,325.2212,frame_830
frame,34.9632,325.6378,frame_840
frame,35.3829,326.0546,frame_850
frame,35.7820,326.4546,frame_860
frame,36.1899,326.8712,frame_870
frame,36.6076,327.2878,frame_880
frame,37.0274,327.7047,frame_890
frame,37.4476,328.1221,frame_900
frame,37.8644,328.5378,frame_910
frame,38.2840,328.9545,frame_920
frame,38.7085,329.3878,frame_930
frame,39.1271,329.8055,frame_940
frame,39.5272,330.2045,frame_950
frame,39.9469,330.6213,frame_960
frame,40.3645,331.0378,frame_970
frame,40.7834,331.4538,frame_980
frame,41.2088,331.8880,frame_990
frame,41.6106,332.2887,frame_1000
frame,42.0459,332.7209,frame_1010
frame,42.4469,333.1211,frame_1020
frame,42.8832,333.5544,frame_1030
frame,43.2913,333.9713,frame_1040
frame,43.6923,334.3713,frame_1050
frame,44.1283,334.8043,frame_1060
frame,44.5469,335.2220,frame_1070
frame,44.9483,335.6224,frame_1080
frame,45.3835,336.0546,frame_1090
frame,45.7915,336.4713,frame_1100
frame,46.1926,336.8715,frame_1110
frame,46.6099,337.2878,frame_1120
frame,47.0295,337.7045,frame_1130
frame,47.4472,338.1211,frame_1140
frame,47.8752,338.5559,frame_1150
frame,48.2914,338.9711,frame_1160
frame,48.6924,339.3711,frame_1170
frame,49.1287,339.8046,frame_1180
frame,49.5296,340.2043,frame_1190
frame,49.9659,340.6377,frame_1200
frame,50.3669,341.0377,frame_1210
frame,50.7748,341.4544,frame_1220
frame,51.1919,341.8705,frame_1230
frame,51.6288,342.3045,frame_1240
frame,52.0299,342.7046,frame_1250
frame,52.4495,343.1212,frame_1260
frame,52.8672,343.5379,frame_1270
frame,53.2934,343.9710,frame_1280
frame,53.6936,344.3720,frame_1290
frame,54.1309,344.8044,frame_1300
frame,54.5486,345.2212,frame_1310
